3.4442501718e+0 1.0298723432e+4 2.0500000000e+2 6.8116487805e+3
6.1024885474e+0 9.7963471438e+3 2.0800000000e+2 7.0156875000e+3
1.0544080244e+1 9.2019734061e+3 2.0000000000e+2 6.5678300000e+3
1.0622740776e+1 8.8010207063e+3 2.0400000000e+2 6.7389803922e+3
1.3926777542e+1 8.8010207063e+3 2.0400000000e+2 6.7389803922e+3
1.7454356111e+1 8.4051011735e+3 2.0300000000e+2 6.6462955665e+3
2.1495133950e+1 7.9061413237e+3 1.9900000000e+2 6.3914874372e+3
2.5236528549e+1 7.4030584733e+3 2.0100000000e+2 6.5226766169e+3
2.8302005971e+1 7.4030584733e+3 2.0100000000e+2 6.5226766169e+3
3.0563127760e+1 7.5103608311e+3 1.9200000000e+2 6.0705989583e+3
3.2346348465e+1 7.3037930354e+3 1.8000000000e+2 5.3715555556e+3
3.4236223898e+1 7.3063341548e+3 1.9700000000e+2 6.2686294416e+3
3.6881365816e+1 7.1288101808e+3 1.2700000000e+2 3.4781102362e+3
3.6950154048e+1 6.9001015953e+3 2.0900000000e+2 7.0864593301e+3
3.9674621125e+1 6.8999496579e+3 2.0800000000e+2 6.9916682692e+3
4.1112247117e+1 6.5276758944e+3 1.2500000000e+2 3.2730400000e+3
4.2404279485e+1 6.4040715948e+3 2.0000000000e+2 6.4680300000e+3
4.5524990088e+1 6.4045719738e+3 2.0100000000e+2 6.5230248756e+3
4.9973523584e+1 6.6028854648e+3 2.0100000000e+2 6.5215422886e+3
5.0510772205e+1 6.1041633159e+3 2.0100000000e+2 6.5520398010e+3
5.2856065675e+1 6.6031464370e+3 2.0200000000e+2 6.6018069307e+3
5.5947756197e+1 6.3973269704e+3 1.8500000000e+2 5.7587459459e+3
5.7184408996e+1 6.6044005179e+3 2.0400000000e+2 6.7286960784e+3
6.0984390965e+1 6.6032086879e+3 2.0000000000e+2 6.4673750000e+3
6.3191643086e+1 6.7044292193e+3 2.0200000000e+2 6.5875099010e+3
6.6835660498e+1 6.5030549454e+3 2.0100000000e+2 6.5215422886e+3
7.0491628853e+1 5.7019125659e+3 2.0600000000e+2 6.8618058252e+3
7.8130747918e+1 6.1960220597e+3 1.7700000000e+2 5.3163163842e+3
7.9627645046e+1 6.3063274153e+3 1.9800000000e+2 6.3225252525e+3
8.6258347322e+1 5.8016465144e+3 2.0400000000e+2 6.7288137255e+3
9.4508265397e+1 5.2029275688e+3 2.0200000000e+2 6.6049356436e+3
1.0320092393e+2 5.0099407131e+3 0.0000000000e+0 0.0000000000e+0
