-2.7397460225e+1 1.5680133891e+4 1.6200000000e+2 5.0849444444e+3
-2.3817143483e+1 1.7050598957e+4 1.6200000000e+2 5.0849444444e+3
-2.0354312106e+1 1.5648640062e+4 1.4500000000e+2 3.6672413793e+3
-2.0321748864e+1 1.6241439855e+4 1.5300000000e+2 4.5315294118e+3
-1.9428368121e+1 1.4941631515e+4 1.6200000000e+2 5.0849444444e+3
-1.7753703839e+1 1.4421856048e+4 1.6200000000e+2 5.0982777778e+3
-1.7665384830e+1 1.8962284436e+4 1.5300000000e+2 4.5315294118e+3
-8.3381988031e-1 1.3487825275e+4 1.4400000000e+2 3.9920000000e+3
2.7457072994e-3 1.4136407694e+4 1.1300000000e+2 3.3107787611e+3
8.9859144650e-1 1.4493235222e+4 1.6200000000e+2 5.0849444444e+3
1.7919721895e+0 1.3493534339e+4 1.5300000000e+2 4.5315294118e+3
1.7881078434e+0 1.2403385894e+4 1.0900000000e+2 2.3719082569e+3
2.6615747379e+0 1.2792885911e+4 1.5300000000e+2 4.5315294118e+3
8.8676835498e+0 1.2092743033e+4 1.4400000000e+2 3.9920000000e+3
-1.7485895717e+0 1.3709670393e+4 0.0000000000e+0 0.0000000000e+0
-8.0203251651e-1 1.3925321215e+4 0.0000000000e+0 0.0000000000e+0
