3.5362966339e+0 2.2511501192e+15 1.3000000000e+2 2.9814230769e+3
6.1580805006e+0 2.4382868489e+15 1.4100000000e+2 3.2160141844e+3
1.0609001845e+1 2.5957895466e+15 1.0800000000e+2 2.0866666667e+3
1.0599526309e+1 2.8252470768e+15 1.2100000000e+2 2.9727768595e+3
1.3981146727e+1 2.6842761312e+15 1.3900000000e+2 3.1350935252e+3
1.7497999554e+1 2.8338865912e+15 1.4400000000e+2 3.3519861111e+3
2.1536582035e+1 3.0600733258e+15 1.4300000000e+2 3.3136363636e+3
2.5277374235e+1 3.4045007706e+15 1.4500000000e+2 3.3991034483e+3
2.8340804553e+1 3.3730933575e+15 1.4200000000e+2 3.2666830986e+3
3.0614048211e+1 3.2159632488e+15 1.1100000000e+2 2.2166666667e+3
3.1977079598e+1 3.3361523203e+15 1.0000000000e+0 0.0000000000e+0
3.2373802903e+1 3.3248313883e+15 1.2600000000e+2 2.6713015873e+3
3.4278510282e+1 3.3091396671e+15 1.4400000000e+2 3.3486527778e+3
3.6979226277e+1 3.6016244924e+15 1.4100000000e+2 3.2239858156e+3
3.6943166758e+1 3.3690619990e+15 6.8000000000e+1 9.4410294118e+2
3.9712872105e+1 3.5334814874e+15 1.4300000000e+2 3.3007552448e+3
4.1391911063e+1 3.9389797430e+15 8.1000000000e+1 1.4551604938e+3
4.2442309192e+1 4.0726588370e+15 1.4200000000e+2 3.2666830986e+3
4.5565509859e+1 3.9922161347e+15 1.3900000000e+2 3.1348633094e+3
4.5086341311e+1 4.0836123615e+15 1.0000000000e+0 0.0000000000e+0
5.0012535021e+1 3.7401927024e+15 1.4300000000e+2 3.3076363636e+3
5.0548191700e+1 4.3156940242e+15 1.4200000000e+2 3.2584225352e+3
5.2888066617e+1 3.5725626073e+15 1.4100000000e+2 3.2137730496e+3
5.5994825368e+1 3.7948470843e+15 1.3600000000e+2 3.0136911765e+3
5.7213846612e+1 3.5024563358e+15 1.4300000000e+2 3.3007552448e+3
6.1013487175e+1 3.3849834322e+15 1.4400000000e+2 3.3453055556e+3
6.3226600580e+1 3.2744394341e+15 1.4200000000e+2 3.2586267606e+3
6.6850396446e+1 3.4712061190e+15 1.4200000000e+2 3.2645140845e+3
7.0524694959e+1 4.2802367558e+15 1.4300000000e+2 3.3071328671e+3
7.8022282543e+1 3.4280775105e+15 1.1000000000e+2 2.1608545455e+3
7.9632629461e+1 3.2716013060e+15 1.4700000000e+2 3.4996598639e+3
8.6246562030e+1 3.6902773676e+15 4.3000000000e+1 4.6976744186e+2
9.4518887960e+1 4.5039959653e+15 1.4500000000e+2 3.3973655172e+3
1.0299680362e+2 4.7736132211e+15 1.0000000000e+0 0.0000000000e+0
